英雄联盟,4533200,【99%胜率龙龟】主Q征服者，怼翻全场！,唐人龙龟,8.3万
英雄联盟,1101381,龅牙：艾欧尼亚大乱斗，上车啊兄弟,罒x罒,8.2万
英雄联盟,1711060,发条 辛德拉:找AD借钱,da迪,8.0万
英雄联盟,6273045,绍兴第一淑女,孤儿南,8.0万
英雄联盟,755389,萱某人OB：不上白银不下播,电竞少女萱某人OB,8.0万
英雄联盟,5330606,中单派克真好玩！！！,广广l,7.9万
英雄联盟,13423,射可可：┗|｀O′|┛ 时差会回去的,射可可可可,7.9万
英雄联盟,7937856,暗号中单剑圣，出装符文已更新,暗号剑圣呀,7.8万
英雄联盟,4831588,韩服ad钻石局上分教学^^,SNE随意,7.7万
英雄联盟,3164335,最连体双胞胎，我们以单杀为耻！,您的琳哥哥,7.6万
英雄联盟,1164398,中单AP大虫子科加斯，简单粗暴。一口一个,十一叔叔o,7.4万
英雄联盟,2077265,从此以后再无稻草。练英雄了。下饭主播,一个很C的稻草人,7.4万
英雄联盟,2172353,一级单杀：第一蒙多教您对线细节,皮皮然z,7.2万
英雄联盟,7381419,阿俊：欢迎来到阿俊欢乐直播间,战神俄洛伊,7.0万
英雄联盟,1722685,最强风女细节教学！！！,睿智三,7.0万
英雄联盟,305155,最强大虫子：杀人书五速鞋场均20杀！！,cc科加斯一口闷丶,7.0万
英雄联盟,6662715,[艾欧尼亚有车位]记得我就好,陈晚安baby,7.0万
英雄联盟,2056495,温暖发条专场：这货是声优？,豪男xhn,6.9万
英雄联盟,1494820,【欢乐车队】奶瓶君：网恋达人了解一下？,奶瓶君总攻,6.6万
英雄联盟,8372282,四月要对大家好点哦，好运和我在你身边♥,桃桃兔QvQ,6.5万
英雄联盟,7317145,锤石King:日常操作在线下饭,锤石King丿,6.5万
英雄联盟,2650554,(๑•́ ₃ •̀๑)搞点宵夜778,弯弯OwO,6.4万
英雄联盟,1676777,【金克丝】【最爱还是金克丝】,D政政,6.3万
英雄联盟,7865626,小鼠下饭直播间,鼠大王uou,6.3万
英雄联盟,2779316,黑色玫瑰：今天没化妆 这波素颜值几分啊？,小戴想吃冰淇淋,6.3万
英雄联盟,5117302,皮城执法官专场 教你上钻石。,一拳超人s,6.2万
英雄联盟,5152641,征服者卡特吸血秒人！,阿俊卡特c,6.0万
英雄联盟,5104578,黑色AD小姐姐~,金鱼姬y,5.9万
英雄联盟,5792609,恭喜小虎鲨成功登顶韩服第一,RNG上校OB皇族RYL不放弃,5.9万
英雄联盟,6879368,柳二梦:最莽女卡特 6879368,柳二梦,5.9万
英雄联盟,4321926,三级不单杀求举报,辣条YC,5.9万
英雄联盟,2970241,广东小姐姐在线唉锤-.-,只属于你de小可爱,5.8万
英雄联盟,148356,韩服冲分~,老皮虾z,5.8万
英雄联盟,153557,卡萨丁一生热爱卡萨丁（三万场）,卡萨鹏丶卡萨丁,5.7万
英雄联盟,291447,峡谷受气包，依坚强，不许哭！,沈画依,5.5万
英雄联盟,8409259,CtY鸽皇咕咕峡谷冲分,CtY鸽皇咕咕,5.5万
英雄联盟,1369397,彭枪枪 ：中路天才少女,彭枪枪OVO,5.4万
英雄联盟,944455,黑色玫瑰有车位 944455,锦年m,5.3万
英雄联盟,6218988,仙女冰：下午好，快乐时光就要开始了～,仙女冰ouo,5.2万
英雄联盟,6270926,国服第一峡谷千分王者卡萨丁：安排,克神啊,5.2万
英雄联盟,805812,红名：一只温柔的单排图奇~！,红名c,5.2万
英雄联盟,6512058,网二德玛西亚你的老婆已就位,wuli幼真,5.1万
英雄联盟,291447,峡谷受气包，依坚强，不许哭！,沈画依,5.5万
英雄联盟,8409259,CtY鸽皇咕咕峡谷冲分,CtY鸽皇咕咕,5.5万
英雄联盟,1369397,彭枪枪 ：中路天才少女,彭枪枪OVO,5.4万
英雄联盟,944455,黑色玫瑰有车位 944455,锦年m,5.3万
英雄联盟,6218988,仙女冰：下午好，快乐时光就要开始了～,仙女冰ouo,5.2万
英雄联盟,6270926,国服第一峡谷千分王者卡萨丁：安排,克神啊,5.2万
英雄联盟,805812,红名：一只温柔的单排图奇~！,红名c,5.2万
英雄联盟,6512058,网二德玛西亚你的老婆已就位,wuli幼真,5.1万
英雄联盟,454477,不管你的男枪多菜-来看就超神,无敌男枪张学友,4.8万
英雄联盟,5439925,该不会真有人是进来学人马的把,叫我冷眸吧,4.8万
英雄联盟,307322,峡谷唯一王者辛德拉 教学局,兰晨丶,4.8万
英雄联盟,1960469,阿狸 刺客之道-光速瞬杀型阿狸教学,辉哥阿狸,4.6万
英雄联盟,7600114,全网唯一黑铁主播，,做你书签,4.6万
英雄联盟,1343018,艾欧尼亚~ 组排有无,一块废饼,4.6万
英雄联盟,4874874,电一：知道自己是一个人，别重复那么多遍啦,你的钰酱,4.6万
英雄联盟,7127682,美服吸血鬼卡萨丁,英雄联盟魔德,4.5万
英雄联盟,7918554,火烈鸟一把手的直播间,我可不是王大川哟,4.4万
英雄联盟,3207945,斗鱼第一娜美教学导师辅助的基础教学夏老师,执夏娜美,4.4万
英雄联盟,7921942,新人小主播上路~ 求关注,北葵姐姐,4.4万
英雄联盟,4779609,瑞兹小加强 瑞兹王kingking在线c,千佐Ryze,4.3万
英雄联盟,7769858,艾欧尼亚有车位~可换区,黄数数,4.2万
英雄联盟,6475952,网一比尔吉沃特 点个关注哦！,撒娇biubiu丶,4.2万
英雄联盟,6277118,休闲一下   下会棋~~~,迷兔妹,4.2万
英雄联盟,8034771,黑色玫瑰 孤寡老人的一天,是红领巾黝,4.2万
英雄联盟,158252,青钢影上单博弈论之相声娱乐解说,花老师青钢影KING,4.1万
英雄联盟,423544,韩服OB 飞科 FPX IG RNG,青蛙OB王者局丶抽红包,4.1万
英雄联盟,616698,电二：祖安：开心最重要嘛~~,抱走小呆萌丶,4.0万
英雄联盟,5820648,韶华：最终还是我一个人扛下了所有！,辅助韶华,4.0万
英雄联盟,1026742,"艾欧尼亚,碰碰车~~",叫我小天蝎,4.0万
英雄联盟,7024373,❤️听了会恋爱的声音❤️,呓呓呀,4.0万
英雄联盟,1503792,✿艾欧尼亚✿有位置~~,甜雨n,3.9万
英雄联盟,6380220,上单战神，36岁王者。,上单躺王,3.9万
英雄联盟,158252,青钢影上单博弈论之相声娱乐解说,花老师青钢影KING,4.1万
英雄联盟,423544,韩服OB 飞科 FPX IG RNG,青蛙OB王者局丶抽红包,4.1万
英雄联盟,616698,电二：祖安：开心最重要嘛~~,抱走小呆萌丶,4.0万
英雄联盟,5820648,韶华：最终还是我一个人扛下了所有！,辅助韶华,4.0万
