G_name,RoomID,RoomName,BlogName,HotPoint
英雄联盟,305155,最强大虫子：杀人书五速鞋场均20杀！！,cc科加斯一口闷丶,61000.0
英雄联盟,323284,ބ有车位ބ湖南小甜欣ބ,婠欣怡c,61000.0
英雄联盟,5152641,征服者卡特吸血秒人！,阿俊卡特c,60000.0
英雄联盟,2779316,黑色玫瑰：今天没化妆 这波素颜值几分啊？,小戴想吃冰淇淋,59000.0
英雄联盟,153557,卡萨丁一生热爱卡萨丁（三万场）,卡萨鹏丶卡萨丁,58000.0
英雄联盟,7589762,芭比粉再坚持几天，过两天就换回来,阿心renix,54000.0
英雄联盟,5792609,实况狗虎明龙狼betty韩服排位,RNG上校OB皇族RYL不放弃,53000.0
英雄联盟,2970241,广东小姐姐在线唉锤-.-,只属于你de小可爱,49000.0
英雄联盟,8121529,快乐风男不快乐~~~·,蜜朵儿or,49000.0
英雄联盟,2518720,新主播求关注 2518720,糖豆Darling,47000.0
英雄联盟,2077265,下饭主播。了解一下？,一个很C的稻草人,47000.0
英雄联盟,6380220,上单战神，36岁王者。,上单躺王,46000.0
英雄联盟,1180429,提莫是唯一信仰！三年单提莫连上王者！,子潇提莫,46000.0
英雄联盟,5439925,希望开摄像头可以让自己好起来点个关注吧,叫我冷眸吧,46000.0
英雄联盟,4422977,声优王者ad在线教学,李颜落,46000.0
英雄联盟,7926289,艾欧尼亚开车喽！,沐研吖,46000.0
英雄联盟,1343018,艾欧尼亚看看我~啾咪~,一块废饼,45000.0
英雄联盟,7650097,遇见你是最美的意外 7650097,芽美小可爱,45000.0
英雄联盟,6090023,国服顶尖豹女上钻教学,Joker豹女,45000.0
英雄联盟,7798796,阳光男孩手把手教学中单！佐伊！皎月！,薯条叔叔叔,45000.0
英雄联盟,5104578,{有车位}能让你起床的AD小姐姐~,金鱼姬y,44000.0
英雄联盟,7600114,全网唯一黑铁主播，,做你书签,43000.0
英雄联盟,5781672,阿卡丽的神秘直播间,cc張小白,42000.0
英雄联盟,2364190,电一:来做我心中的宝贝,小锄禾禾,42000.0
英雄联盟,1960469,阿狸的正确打开方式！精细教学,辉哥阿狸,42000.0
英雄联盟,423544,韩服OB 飞科 FPX IG RNG,青蛙OB王者局丶抽红包,42000.0
英雄联盟,8034771,黑色玫瑰 通宵车 滴滴滴~,是红领巾黝,41000.0
英雄联盟,6512058,“网二你的下饭老婆”,wuli幼真,41000.0
英雄联盟,454477,不管你的男枪多菜-来看就超神,无敌男枪张学友,41000.0
英雄联盟,224786,弘诺：皎月反甲兰德里等于无解,弘诺阿巴皎月,41000.0
英雄联盟,4457324,（黑色玫瑰）新东方女厨师长请求出战！,丶黄宝宝丶,40000.0
英雄联盟,6901557,峡谷之巅开冲！！,辛德浪炼金,40000.0
英雄联盟,6277118,下下棋   开开胃  ~,迷兔妹,39000.0
英雄联盟,657752,软辅导师单排教学 657752,一抹风度,39000.0
英雄联盟,4635291,小墨鱼:峡谷单排王者ad冲千分,小墨鱼ovo,38000.0
英雄联盟,141871,网一：大乱斗.❤,执迷哥哥丶,36000.0
英雄联盟,4378819,娱乐拉满。关注上分！,一只马瓜皮,35000.0
英雄联盟,2217169,河南郑州第一卡萨丁,温文尔雅的BUG,35000.0
英雄联盟,5461915,中单皇子恰一波分,你痴哥,34000.0
英雄联盟,3607695,第一暴力盲僧，k头猛男,奥力给丶暮城,34000.0
英雄联盟,4717781,阿图：猛男寡妇上线,阿图不当人,34000.0
英雄联盟,1704005,喜欢软的（我是说辅助,珊兔ovo,34000.0
英雄联盟,1970683,飞机陪玩一天24小时,甩锅酒鬼,34000.0
英雄联盟,1503792,✿艾欧尼亚✿打盟盟不啦~~,甜雨n,34000.0
英雄联盟,4378819,娱乐拉满。关注上分！,一只马瓜皮,35000.0
英雄联盟,2217169,河南郑州第一卡萨丁,温文尔雅的BUG,35000.0
英雄联盟,5461915,中单皇子恰一波分,你痴哥,34000.0
英雄联盟,3607695,第一暴力盲僧，k头猛男,奥力给丶暮城,34000.0
英雄联盟,4717781,阿图：猛男寡妇上线,阿图不当人,34000.0
英雄联盟,1704005,喜欢软的（我是说辅助,珊兔ovo,34000.0
